var_0,var_1,var_2,var_3,var_4,var_5,var_6,error
39,49,19,28,45,31,28,8.605812000319032e-12
48,4,16,12,11,52,18,5.627202949293226e-08
22,19,23,33,30,38,37,2.968146617337779e-13
21,13,31,49,8,8,7,1574552528.0011554
23,21,52,31,52,52,7,0.0005698763202801249
36,35,37,30,7,33,19,1597765270.1951456
22,40,15,45,6,26,26,39645.659398540025
11,30,39,39,26,28,23,0.007709822839687313
16,17,46,20,36,38,52,8.617946911801339e-10
13,5,17,49,20,51,40,5.3218988143601987e-08
38,25,35,31,23,7,6,1574552367.9724407
10,48,38,8,22,42,28,0.03670990152468933
26,48,24,42,37,43,13,1.907148900605602e-07
31,18,3,4,40,19,9,0.9999501038007405
38,19,26,19,20,7,25,1593685891.8575137
50,47,45,4,45,50,14,0.00011561717884885353
11,33,18,14,32,26,23,0.007709822839687313
21,21,41,31,46,48,18,1.7710790933455247e-10
12,12,35,22,22,48,30,1.7954502565705671e-07
40,48,7,14,17,16,42,1593699744.5846379
5,45,31,37,44,40,37,41867.47370354725
8,42,42,4,30,38,49,0.0002090816942304985
34,5,34,44,12,28,43,2.3953177660355263e-08
14,13,11,44,37,21,46,6.509753354338057e-07
38,47,26,50,35,21,3,0.19914072745175773
25,16,34,7,30,26,27,1.486219201145758e-06
5,7,31,48,44,39,21,41867.47370354725
42,49,48,6,43,11,29,7.580992188563849e-06
41,49,5,38,25,24,38,0.9902512681407628
51,14,13,40,23,14,47,7.467930662461872e-08
31,35,36,43,46,18,29,3.4043504651297515e-11
27,3,19,27,20,42,19,1.1080244545337865e-09
27,33,46,51,17,23,13,1.9071306175684335e-07
31,15,49,31,10,14,26,1.5735840176100343e-07
51,20,7,33,42,30,8,1574552368.1067257
28,10,37,22,12,21,13,1.5667088974950661e-07
16,47,23,41,3,27,15,1595400166.7182474
45,34,18,24,3,34,8,1574552379.6703722
38,6,29,5,13,10,26,2.6355702230391364e-05
23,33,10,19,33,18,24,2.1688712766009035e-06
41,3,6,45,34,36,21,1593795923.5095198
23,31,14,44,17,8,15,1593834281.3195
50,22,29,51,52,49,14,4.890934520829557e-08
17,52,50,51,7,15,31,1597653883.6927493
43,21,47,28,25,12,41,1.363802499173065e-07
38,16,44,14,5,27,52,1591651434.9339943
40,37,13,44,43,45,46,3.5391959740657415e-08
6,8,44,17,5,48,34,1582502106.2423422
11,50,52,5,14,26,22,0.007709822839687313
5,8,32,33,4,16,35,1599579735.713694
22,33,37,35,50,25,15,1.0440424068364615e-08
22,27,3,47,4,18,36,0.9999498969194375
49,23,39,30,37,37,41,1.9747742660039566e-20
39,9,42,23,39,43,32,2.5995712049164437e-13
22,27,6,43,10,15,45,1593685299.0653286
44,21,50,41,46,18,12,7.419291941497058e-07
5,50,41,40,9,12,21,41867.47370354725
16,24,47,29,47,7,35,1593666368.6348765
21,24,9,43,39,46,22,39636.43313976791
4,52,22,7,24,6,35,1616719342.9973602
6,6,22,49,13,38,4,0.9908243368316558
25,11,28,33,36,14,50,7.977484059369538e-09
20,13,50,16,19,24,26,2.7627769610306164e-11
41,30,18,43,6,49,31,39644.740944864214
18,48,44,9,8,30,8,39773.63264702886
31,18,40,30,29,42,7,0.0005698760428131703
51,37,9,21,43,29,24,39636.457479951896
36,3,44,9,12,6,50,1594410409.2957292
47,35,6,41,22,17,15,1593834269.2101185
22,28,11,23,8,47,36,39621.590224391
3,37,40,38,48,18,41,2511386548.7739854
36,44,22,51,46,29,29,1.3448065544443332e-13
47,33,42,41,36,39,4,0.023815478175821327
16,41,45,23,50,9,43,39636.80362355825
10,19,15,36,39,39,51,0.03670990152468933
33,43,39,8,23,13,19,4.3228851217815715e-07
48,46,47,34,19,41,14,4.8909350329659364e-08
18,31,7,15,6,29,4,1574566618.4264941
27,8,40,22,4,31,19,1597178936.2311258
17,41,35,45,11,28,14,1.6967212456776172e-07
48,6,33,26,26,13,39,3.545869388024819e-08
40,3,20,23,31,27,52,1.1482011738797088e-09
27,20,13,10,43,12,25,0.03670990152468933
18,52,42,45,3,35,4,1574553617.4360116
15,7,8,7,4,22,6,1575832246.3795042
26,22,5,41,24,30,3,0.9905955492988778
16,14,36,50,12,19,33,3.582496569751125e-08
6,31,26,25,22,48,25,0.990163491039716
26,41,7,6,29,43,14,1596935895.5188193
3,41,3,39,16,12,41,0.9907335344213766
16,13,15,39,48,18,28,4.983152527904189e-09
48,4,15,51,38,44,33,2.314708992763624e-09
18,17,4,27,34,50,26,0.9999498968261769
45,3,27,39,46,38,27,1.1482173580129894e-09
12,22,26,47,49,4,33,0.999949908193315
41,22,44,26,42,11,10,8.466843736887664e-06
15,7,20,25,30,16,44,4.789316372676817e-09
41,35,5,33,34,50,41,0.990251268140814
35,22,3,50,30,14,41,0.9999498969253655
44,10,10,35,49,46,10,1.1292746850935711e-05
49,37,43,48,29,20,16,3.0551719891640553e-09
23,30,27,14,52,43,48,1.0443088357052099e-10
6,14,21,50,48,34,12,0.990163491039716
10,39,14,30,40,3,28,0.9999585671747923
25,35,6,36,19,20,4,1574552383.6661997
19,17,51,9,22,15,18,0.19864010430933074
40,30,33,40,30,22,48,1.3053923031221766e-13
10,21,39,42,3,18,52,1596933900.27339
44,48,21,35,9,19,27,2.815672455900485e-07
5,9,25,9,46,48,43,41867.47370354725
12,21,15,50,52,20,48,2.2080403298167652e-07
40,41,24,48,26,14,23,7.966693031401595e-09
31,24,38,48,51,46,40,1.1478705014467569e-18
37,50,14,43,41,9,26,39636.466552890095
17,13,44,5,13,44,35,2.2796317915095647e-05
14,48,13,9,6,12,18,39646.976239870586
20,19,47,21,3,9,11,1591061973.7650106
23,44,25,51,36,34,49,6.265435592163601e-14
41,13,12,5,28,42,34,2.3602119351315444e-05
10,48,44,19,12,45,43,0.03670990152468933
23,7,39,23,29,35,5,0.008519657947527287
40,43,24,37,42,48,45,8.180788314562844e-15
46,28,25,12,37,46,49,1.3343618960919636e-09
42,30,7,34,37,9,30,1593685389.7237499
22,15,8,43,18,42,23,1593685227.2516706
33,36,49,18,34,12,52,1.3638224637409097e-07
20,24,4,3,37,14,36,0.9914649701762802
38,13,52,23,11,34,3,0.19914072990721926
7,52,44,25,29,45,12,0.00021579188647639883
43,12,32,34,19,37,21,1.1555030657849179e-11
50,35,39,38,50,25,19,6.349180105591122e-11
44,28,27,30,50,26,3,0.19914072741291008
20,39,44,9,20,32,6,0.19864010430933074
13,36,8,16,23,50,19,1593887825.1806598
18,47,6,31,3,10,9,1596615039.998282
29,34,10,31,29,49,17,2.1530762724563916e-06
29,38,36,39,26,32,32,3.8618970666225454e-16
22,4,29,35,31,43,31,6.62884741154917e-11
18,52,20,3,7,8,47,1611717499.7988136
43,52,24,49,30,7,45,1593685386.1428227
52,42,37,50,32,23,18,1.7255517064741006e-10
22,29,27,12,52,9,5,42816.28731356141
51,34,20,17,32,21,28,7.655554863755344e-12
34,31,22,44,50,34,9,3.673666768356891e-05
29,30,13,51,50,24,30,3.5391688282287954e-08
38,50,42,48,13,16,7,0.0005698760415827211
49,41,24,30,32,45,26,1.0776666478654022e-14
50,51,23,5,24,23,19,2.27464200165103e-05
15,34,15,37,20,6,44,1593849659.0632238
23,44,39,6,27,39,37,5.231619228770263e-06
45,37,50,21,28,49,14,4.8916390731646246e-08
31,17,6,26,36,3,4,0.9999498509304203
51,31,34,43,21,43,15,9.143299583391686e-09
14,43,45,16,11,30,34,1.2876731687776781e-07
41,28,7,30,47,22,51,1593685386.3029995
5,8,49,21,48,47,4,41192.905871523784
3,12,25,44,10,10,27,2511386548.7739854
22,42,50,46,17,40,48,7.929257612189898e-11
14,40,33,11,8,51,25,39613.37084898753
50,37,40,37,25,51,25,1.8060190401597602e-14
41,10,11,44,34,32,40,5.569597062320883e-07
44,43,5,11,4,46,52,1447310514.5137365
22,51,24,8,49,25,15,3.5123307147097057e-07
19,27,35,35,37,47,19,6.439307256494427e-11
38,26,17,38,42,23,26,1.3881948865983782e-10
49,4,28,48,5,46,38,1591666766.1774595
13,40,20,14,12,12,43,5.558385702790227e-07
32,32,41,8,5,5,13,1447977337.361716
43,26,26,12,36,34,45,1.3343618960919636e-09
8,18,7,6,23,43,29,1587230166.84726
9,30,26,35,47,37,5,0.19864010430933074
19,32,14,4,40,3,31,0.9999501926954472
27,9,16,45,15,28,13,1.5731224763328283e-07
23,39,4,25,23,17,23,0.9999498969197561
33,41,31,13,41,22,44,3.5467456674191994e-10
22,51,5,47,28,9,39,1447238044.4404438
31,23,17,34,20,19,17,1.0988215527954761e-09
37,42,52,35,44,27,21,2.0949456441194737e-12
27,40,4,50,27,20,40,0.9999498969254033
31,44,25,40,18,36,24,2.0190350500325226e-11
44,43,52,34,10,48,6,0.001997361075374744
51,26,5,16,14,37,44,0.9902512677551627
8,3,7,27,32,46,6,1575425437.1295679
42,32,48,26,34,32,5,0.008519713431805107
41,29,51,47,12,41,16,3.0235966303603776e-08
51,24,34,39,52,46,48,7.348732242727414e-21
52,31,45,10,45,24,7,0.03670990152468933
11,18,21,5,22,41,8,0.007709822839687313
37,4,4,41,24,23,8,0.9999498508070539
4,42,43,43,27,29,21,1571694864.6934013
9,52,52,23,15,13,13,0.19864010430933074
17,28,22,25,45,20,17,8.184345687356358e-10
51,19,37,24,34,16,34,5.303439447611474e-10
45,5,19,38,9,30,50,2.810265249884511e-07
44,30,11,11,52,19,50,0.007709822839687313
16,47,42,6,31,39,49,5.231619228770263e-06
17,38,43,25,36,47,37,2.032456417539609e-10
16,4,13,46,36,34,48,4.289104946885439e-08
20,24,44,46,41,7,39,1593682853.7258174
21,41,8,33,18,33,24,1593682442.305287
25,31,22,38,32,16,8,0.00013582949970968546
40,33,32,8,27,50,33,3.7516076530585534e-07
45,51,20,38,38,17,32,1.33318932742181e-10
33,7,42,24,20,46,16,3.0489685532654225e-09
29,49,34,11,12,24,30,0.007709822839687313
48,17,27,28,30,27,41,1.4377648324018534e-16
24,45,6,23,18,8,49,1593685390.306358
36,45,15,12,50,14,48,1.187396385238986e-08
23,9,40,31,48,16,28,5.331378706780896e-10
50,5,47,51,44,42,45,1.5589829244937914e-11
52,47,46,8,21,30,13,5.427523053931784e-07
9,16,16,51,7,18,20,1597418922.6378067
52,42,13,45,14,17,37,3.8404152196175424e-08
40,31,48,43,45,18,36,3.4031996323954275e-11
