var_0,var_1,var_2,var_3,var_4,var_5,var_6,quality,time,memory_mean,memory_peak
17,30,36,8,52,17,7,3.3949267681892623,748.4245913,47.259936,59.840569
3,14,11,42,31,41,4,-6.907755278982137,590.9395056,11.99112,19.879594
25,5,48,39,33,44,25,24.914734923980212,736.1926885,49.218336,61.733689
45,12,23,7,52,34,36,13.452042499191101,746.1301858,49.20848,61.723833
34,35,33,34,19,36,8,8.909816523561465,704.4117491,49.218336,61.733689
14,22,6,16,26,5,44,0.14691344173777118,733.8340518,47.259936,59.644729
44,45,21,5,18,38,40,10.641971724206083,754.0655658,47.25712,59.641913
22,23,14,37,8,21,41,-9.488158884221711,751.9804537,47.259936,59.840569
9,5,45,3,12,21,28,-6.907755278982137,588.0937803,11.989712,19.878186
37,49,40,49,34,4,14,5.007794719404935e-05,744.8178985,48.630056,61.164843
4,50,46,28,17,13,8,-20.780805307869002,745.4518068,49.218336,61.733689
35,17,11,12,17,21,28,-17.791312326909228,581.2668419,11.996752,19.885226
44,35,29,18,28,16,5,2.604728651887895,763.6787241,49.218336,61.733689
24,51,31,32,17,49,30,23.23484981577448,739.0915809,49.214038,61.729391
6,51,22,35,8,16,41,-18.874844706208307,747.6867056,49.218336,61.733689
5,3,38,51,41,50,50,-19.387755649351025,589.4619458,11.988304,19.876778
44,16,50,34,48,18,18,22.454327079555267,755.2460935,47.259936,59.840569
37,3,18,8,19,23,31,3.411206715000838,588.628983,12.008016,19.89649
4,27,19,22,38,30,35,-20.7293953004565,733.6943054,49.218336,61.733689
36,11,22,15,52,12,46,2.718071546337353,587.3147089,12.002384,19.890858
6,40,51,50,45,47,16,-18.469848005011173,759.5918434,49.218336,61.733689
17,31,34,41,28,47,45,22.35366483037132,734.2095695,48.306944,60.854673
3,14,26,3,13,42,22,-6.907755278982137,624.5483129,12.008016,19.89649
24,52,14,17,46,51,38,-7.1854631835287455,761.2209544,49.204256,61.719609
12,12,48,15,16,40,43,3.411213292833314,731.6077623,47.259936,59.840569
41,17,45,17,27,13,35,-8.284162413758654,743.6570435,49.211296,61.726649
46,17,40,44,12,41,41,-8.283967641389543,771.275897,48.468884,61.008675
25,3,40,16,13,24,11,-8.284081145245546,593.2365363,12.008016,19.89649
29,50,6,42,28,8,4,-21.17723685853095,751.3181849,47.259936,59.644729
7,27,4,15,32,28,8,5.011724865468075e-05,742.0803633,47.243744,59.628537
23,42,6,26,47,43,26,-21.18931494479469,764.2366714,45.301536,57.751609
4,37,10,46,27,26,25,-20.49244753123781,592.9824281,11.998864,19.887338
49,51,34,47,22,13,36,-8.284162297211214,767.3171,48.634134,61.168979
31,46,40,44,19,26,43,25.99630901742532,769.5069938,48.711874,61.248107
28,45,41,6,24,26,20,12.036083185872569,762.7073774,47.257824,59.642617
32,22,49,25,22,32,50,30.158781941803934,743.4382946,49.049762,61.572325
46,50,22,24,33,12,20,2.7180715414242256,771.0364339,49.200736,61.716089
17,51,4,21,19,25,24,5.008056080514379e-05,731.0264987945557,49.220883,61.540396
23,17,51,44,45,50,17,20.919410164408262,704.745810508728,49.224088,61.739441
27,42,37,33,34,51,22,28.107483843199457,721.0451323986053,48.835102,61.362311
38,34,7,5,8,12,28,-21.1943974977876,741.4518949985504,47.259936,59.644729
27,15,42,26,31,40,6,6.193877764404631,721.184573173523,49.20252,61.717873
16,21,29,30,5,43,26,-21.156671486211284,716.9379997253418,47.259936,59.840569
35,41,27,20,45,32,26,31.2693316743951,670.0650689601898,47.250216,59.830849
46,35,16,28,38,27,8,2.7161290739050927,702.0235583782196,49.218336,61.733689
34,40,25,22,38,5,4,0.1787686294539196,829.1507971286774,49.218471,61.733824
46,43,24,32,43,43,35,32.42544353556341,858.4467432498932,48.52775,61.065333
48,6,25,20,49,34,21,26.22234570772597,857.8300521373749,49.2002,61.715553
31,25,8,38,35,47,49,-21.120323933552413,812.4727282524109,47.259936,59.840569
17,50,50,21,44,27,46,22.353400928058928,782.9756274223328,49.218336,61.733689
17,6,23,38,14,31,14,2.71807348597907,764.2501645088196,49.218517,61.73387
22,31,18,27,50,45,35,24.050294801890235,786.9014830589294,47.259936,59.840569
9,33,27,43,33,52,6,-8.594482834589446,603.2342700958252,12.008016,19.89649
37,31,30,17,22,7,49,-21.189316242089305,785.9787907600403,47.259936,59.840569
10,46,48,32,16,43,37,2.6815085522753717,615.0818455219269,11.99464,19.883114
41,4,34,25,27,24,49,23.66590519372253,942.4143834114076,47.259936,59.840569
8,36,11,10,42,43,4,-17.776447569452273,629.1629972457886,12.00168,19.890154
46,33,25,47,33,49,23,29.46556292570982,797.5897738933563,48.633178,61.167975
23,23,28,34,29,33,47,30.65596462331674,761.7776849269867,48.511994,61.051821
43,41,48,16,25,16,32,2.718075206036242,768.7835104465485,47.259936,59.840569
35,48,6,7,13,46,34,-21.19085907360576,752.0594651699066,47.244681,59.629474
38,27,21,17,29,37,14,16.680163310681312,814.8200988769531,49.218336,61.733689
25,45,13,5,30,44,16,-8.2907558677017,598.9597239494324,47.259069,59.643862
27,26,34,18,43,47,23,28.08146999668707,273.7197918891907,49.218336,61.733689
3,49,42,18,46,42,43,-6.907755278982137,822.4170182,12.011379,19.899685
3,50,3,13,13,33,22,-6.907755278982137,778.2142019,12.013768,19.902074
37,32,24,48,31,19,31,25.513509523358806,1022.367218,48.6293,61.163897
12,14,26,38,14,40,17,2.7180691512999253,714.3644252,49.218336,61.733689
40,17,42,23,32,30,42,35.635744786099465,688.1703687,49.200704,61.716057
48,47,4,6,46,42,29,5.006492998444366e-05,663.2251132,47.259936,59.448889
15,27,14,4,22,25,24,-7.19351522151575,678.9054899,49.218336,61.537849
9,26,45,47,7,40,28,-21.08605241829102,529.2846124,11.999168,19.887642
21,38,31,16,28,20,25,25.074825225834868,663.1168568,47.260071,59.840704
20,22,11,49,7,36,5,-20.260964309587425,526.867955,12.006259,19.894733
13,27,41,22,6,51,6,-20.720492186023264,659.2609768,49.218336,61.733689
9,41,36,30,3,24,39,-21.18973911595212,528.4142015,11.997624,19.886098
26,48,7,31,25,35,40,-21.18931501664939,660.60325,47.260117,59.84075
39,50,10,41,7,11,29,-20.273040839986212,532.5266867,12.004664,19.893138
10,51,27,13,51,36,21,2.2989674760239738,543.5450666,12.008016,19.89649
33,34,31,51,34,35,49,41.614949056355655,769.8846595,48.615558,61.150411
26,23,29,7,21,38,4,3.730575893939875,789.3341043,49.218336,61.733689
5,38,25,25,4,22,18,-21.19076306824805,768.6054401,47.259936,59.840569
4,34,5,7,42,50,4,-6.98808214414919,752.7560837,47.247264,59.632057
31,52,41,14,30,34,44,23.170714327835253,762.6326432,47.259936,59.840569
40,25,38,47,37,36,46,47.07763867682386,780.4972804,48.63495,61.169677
49,49,46,36,33,33,20,25.51564359073537,775.7773335,48.4438,60.984025
27,23,29,12,34,49,27,20.395842568705042,763.3571856,49.218336,61.733689
28,52,31,16,20,4,37,5.008089830641945e-05,744.4246783,49.197216,61.712569
43,13,39,29,7,39,13,-19.583133335989636,748.9977047,49.218379,61.733732
29,43,24,20,17,36,12,14.025154417035738,741.8589244,49.218336,61.733689
23,37,45,5,40,6,34,-21.19494244038239,748.6915829,47.246089,59.630882
27,25,41,4,4,6,50,-21.20085830239986,761.9760129,49.218451,61.537964
29,48,9,11,6,26,43,-20.966216266133866,593.1129117,12.008557,19.897031
17,5,19,23,52,18,43,21.8360608505003,746.9173849,47.259936,59.840569
48,43,4,38,35,24,33,5.0080888227754194e-05,771.89976,48.616248,60.955695
48,18,52,29,27,24,28,32.28212205589205,759.4832952,49.064418,61.584531
28,26,45,15,49,4,39,5.008087792625601e-05,762.759407,49.218336,61.733689
18,22,29,17,36,35,5,4.767903011378138,767.9439938,49.202144,61.717497
31,18,23,30,21,16,6,2.6892637161329302,747.0255883,47.259936,59.840569
36,5,48,44,24,19,41,24.893044217739803,745.444629,47.259936,59.840569
24,27,32,40,16,14,42,-7.185475816015543,751.9763765,49.209184,61.724537
52,42,41,28,44,43,7,7.49851250230658,760.9789517,49.218336,61.733689
10,43,44,43,38,43,37,2.2989674760239738,593.3883526,12.008016,19.89649
21,9,50,8,8,45,49,-9.383086431608572,586.9699273,12.005904,19.894378
8,27,29,14,23,45,15,-7.89194684759348,741.6093566,49.200736,61.716089
22,20,41,28,15,52,51,20.77647188936112,751.2595246,43.343136,56.054329
44,38,20,48,12,13,46,-17.792079050559742,762.8176773,48.62366,61.158439
18,39,15,20,17,26,25,19.320126692838944,757.381032,49.218336,61.733689
23,43,49,36,37,42,17,20.919420932387123,754.9703741,49.218336,61.733689
37,25,24,50,36,43,12,14.034943642486112,737.6864033,48.615814,61.150369
3,22,48,21,6,23,51,-6.907755278982137,594.4802847,12.008016,19.89649
10,37,9,46,12,36,46,-20.092584537019615,591.701076,12.008016,19.89649
