var_0,var_1,var_2,var_3,var_4,var_5,var_6,quality,time,memory_mean,memory_peak
23,25,31,36,36,36,7,7.498512523229019,100.27485871315002,49.210258,61.725509
19,38,36,21,43,4,48,5.008078300209658e-05,105.56810545921326,47.252626,59.833157
25,51,39,35,17,38,41,23.236179399013494,100.67899799346924,47.271147,59.851678
17,21,40,49,44,41,18,21.46717373513432,101.9100649356842,48.448569,60.991588
52,17,20,51,45,30,5,4.767968038555807,103.2406280040741,48.625059,61.159596
37,10,28,30,23,13,27,-8.284162434738468,86.97939729690552,11.997591,24.076627
3,4,25,37,37,49,44,-6.907755278982137,81.1718544960022,11.996661,24.075953
7,14,48,45,43,4,7,5.011724865468075e-05,104.06419396400452,47.247767,59.828298
35,31,13,32,52,4,46,5.008088823230633e-05,104.53888177871704,47.250994,59.831525
41,40,27,12,50,29,19,20.327898014082667,110.6486268043518,49.210619,61.72551
46,16,7,23,18,17,51,-21.18931504410281,123.63090920448305,47.249563,59.830094
44,36,38,5,28,19,31,10.646741692618713,151.15961003303528,47.25119,59.635883
27,50,24,34,43,18,12,14.024379521655868,104.5663685798645,47.247493,59.828024
7,27,18,7,40,35,38,-8.578544506927509,98.84527921676636,49.209363,61.724615
